country,technology,technology_nomenclature,carrier,class,efficiency,efficiency2,efficiency3,efficiency_store,max_hours,cyclic_state_of_charge,state_of_charge_initial,p_max_pu,p_min_pu,ramp_limit_down,ramp_limit_up,standing_loss,r_rating
KZ,EERH,Electric resistance heater,Electricity,Link,1,0,,0.8944,,,,1,0,1,1,,0
KZ,EHPP,Industry heat pump,Electricity,Link,0.75,0,,0.97,,,,1,0,1,1,,0
KZ,EIDT,Induction heat boiler,Electricity,Link,4,0,,0.9,,,,1,0,1,1,,0
KZ,ELTZ,Electrolyser for hydrogen production,Hyd,Link,0.5874,0,,,,,,1,0,1,1,,0
KZ,FITR,Fischer Tropsch,Hyd,Link,0.799,-0.175,,,,,,1,0,1,1,,0
KZ,GEOT,Geothermal power plant,Geothermal,Generator,1,,,,,,,,0.491,0.42,0.42,,0.9
KZ,HDAM,Hydro dam,Water,Generator,0.9,,,0,9,FALSE,3,1,0,1,1,0,0.9
KZ,HHBS,Household Battery storage,Electricity,Store,0.9,0,,0.9,,,,1,-1,1,1,,0
KZ,HPHS,Hydro pumped storage,Electricity,Store,0.8944,0,,0.8944,,,,1,-1,1,1,,0.9
KZ,HROR,Hydro run-of-river,Water,Generator,1,,,,,,,,0,1,1,,0.9
KZ,IND_BOILER,Industry heat boiler,Bio,Link,0.9,0,0,,,,,1,0,1,1,,0
KZ,IND_BOILER,Industry heat boiler,Gas,Link,0.9,0.2,0,,,,,1,0,1,1,,0
KZ,IND_BOILER,Industry heat boiler,Hrdc,Link,0.9,0.353,0,,,,,1,0,1,1,,0
KZ,IND_BOILER,Industry heat boiler,Hyd,Link,0.9,0,0,,,,,1,0,1,1,,0
KZ,IND_BOILER,Industry heat boiler,Oil,Link,0.9,0.28,0,,,,,1,0,1,1,,0
KZ,INLHSTOR,Thermal low Heat Storage,Low_Heat,Link,0.75,0,,,,,,1,-1,1,1,,0
KZ,METH,Methanation,Hyd,Link,0.8,-0.16,,,,,,1,0,1,1,,0
KZ,NUCL,Nuclear,Uranium,Link,0.33,0,0,,,,,1,0.498,0.72,0.54,,0.9
KZ,OCGT,Open cycle gas turbine,Gas,Link,0.45,0.2,0,,,,,0.59,0,0.683010417,0.625840909,,0.9
KZ,OCGT,Open cycle gas turbine,Lng,Link,0.45,0.2,0,,,,,0.59,0,0.683010417,0.625840909,,0.9
KZ,OCHT,Open cycle hydrogen turbine,Hyd,Link,0.38,0,0,,,,,1,0,0.683010417,0.625840909,,0.9
KZ,OILT,Oil turbine,Oil,Link,0.35,0.28,0,,,,,0.35,0,0.771507085,0.650936846,,0.9
KZ,PEVCH,PEV charger,Electricity,Link,1,0,,0.9,,,,1,0,1,1,,0
KZ,PHOT,Solar PV,Solar,Generator,1,,,,,,,,0,1,1,,0.6
KZ,RTPV,Roof top PV,Solar,Generator,1,,,,,,,,0,1,1,,0.6
KZ,SubC,subcritical coal power plant,Bit,Link,0.33,0.34,0,,,,,0.67,0,0.38,0.29,,0.9
KZ,SubC,subcritical coal power plant,Hrdc,Link,0.33,0.353,0,,,,,0.67,0,0.38,0.29,,0.9
KZ,SubC,subcritical coal power plant,Lig,Link,0.33,0.363,0,,,,,0.67,0,0.38,0.29,,0.9
KZ,SubC_RETRO,Subcritical coal power plant Retrofit,Bit,Link,0.33,0.353,0,,,,,0.67,0,0.38,0.29,,0.9
KZ,SubC_RETRO,Subcritical coal power plant Retrofit,Hrdc,Link,0.33,0.353,0,,,,,0.67,0,0.38,0.29,,0.9
KZ,SubC_RETRO,Subcritical coal power plant Retrofit,Lig,Link,0.33,0.353,0,,,,,1,0,0.76,0.58,,0.9
KZ,SupC,Supercritical coal power plant,Bit,Link,0.33,0.34,0,,,,,0.67,0,0.38,0.29,,0.9
KZ,SupC,Supercritical coal power plant,Hrdc,Link,0.33,0.353,0,,,,,0.67,0,0.38,0.29,,0.9
KZ,SupC,Supercritical coal power plant,Lig,Link,0.33,0.363,0,,,,,0.67,0,0.38,0.29,,0.9
KZ,SupC_RETRO,Supercritical coal power plant Retrofit,Bit,Link,0.33,0.353,0,,,,,0.67,0,0.38,0.29,,0.9
KZ,SupC_RETRO,Supercritical coal power plant Retrofit,Hrdc,Link,0.33,0.353,0,,,,,0.67,0,0.38,0.29,,0.9
KZ,SupC_RETRO,Supercritical coal power plant Retrofit,Lig,Link,0.33,0.353,0,,,,,1,0,0.76,0.58,,0.9
KZ,SWHT,Solar hot water heater,Solar,Generator,1,,,,,,,,0,1,1,,0
KZ,WSTT,Waste turbine,Waste,Link,0.317583333,0.359,0,,,,,1,0.2055,0.687333333,0.529333333,,0.9
KZ,WTOF,Offshore Wind,Wind,Generator,1,,,,,,,,0,1,1,,0.2
KZ,WTON,Onshore Wind,Wind,Generator,1,,,,,,,,0,1,1,,0.2
UZ,BATS,Utility Battery storage,Electricity,Store,0.97,0,,0.97,,,,1,-1,1,1,,0.9
UZ,BIOT,Biomass turbine ,Bio,Link,0.468,0,0,,,,,1,0,0.706759531,0.538284457,,0.9
UZ,CCGT,Combined cycle gas turbine,Gas,Link,0.58,0.2,0,,,,,0.59,0,0.751,0.714,,0.9
UZ,CCGT,Combined cycle gas turbine,Lng,Link,0.58,0.2,0,,,,,0.59,0,0.751,0.714,,0.9
UZ,CHP,Biomass CHP plants,Bio,Link,0.3003,0,0.28125,,,,,0.26,0,0.706759531,0.538284457,,0.9
UZ,CSP,Concentrated solar ,Solar,Generator,1,,,,,,,,0,1,1,,0
UZ,DAC,Direct air capture,CO2,Link,1,-0.5,,,,,,1,0,1,1,,0
UZ,EDLH,Dielectric heating technology,Electricity,Link,0.55,0,,,,,,1,0,1,1,,0
UZ,EERH,Electric resistance heater,Electricity,Link,1,0,,,,,,1,0,1,1,,0
UZ,EHPP,Industry heat pump,Electricity,Link,0.75,0,,,,,,1,0,1,1,,0
UZ,EIDT,Induction heat boiler,Electricity,Link,4,0,,,,,,1,0,1,1,,0
UZ,ELTZ,Electrolyser for hydrogen production,Hyd,Link,0.5874,0,,,,,,1,0,1,1,,0
UZ,FITR,Fischer Tropsch,Hyd,Link,0.799,-0.175,,,,,,1,0,1,1,,0
UZ,GEOT,Geothermal power plant,Geothermal,Generator,1,,,,,,,,0.491,0.42,0.42,,0.9
UZ,HDAM,Hydro dam,Water,Generator,0.9,,,0,9,FALSE,3,1,0,1,1,0,0.9
UZ,HHBS,Household Battery storage,Electricity,Store,0.9,0,,0.9,,,,1,-1,1,1,,0
UZ,HPHS,Hydro pumped storage,Electricity,Store,0.8944,0,,0.8944,,,,1,-1,1,1,,0.9
UZ,HROR,Hydro run-of-river,Water,Generator,1,,,,,,,,0,1,1,,0.9
UZ,IND_BOILER,Industry heat boiler,Bio,Link,0.9,0,0,,,,,1,0,1,1,,0
UZ,IND_BOILER,Industry heat boiler,Gas,Link,0.9,0.2,0,,,,,1,0,1,1,,0
UZ,IND_BOILER,Industry heat boiler,Hrdc,Link,0.9,0.353,0,,,,,1,0,1,1,,0
UZ,IND_BOILER,Industry heat boiler,Hyd,Link,0.9,0,0,,,,,1,0,1,1,,0
UZ,IND_BOILER,Industry heat boiler,Oil,Link,0.9,0.28,0,,,,,1,0,1,1,,0
UZ,INLHSTOR,Thermal low Heat Storage,Low_Heat,Link,0.75,0,,,,,,1,-1,1,1,,0
UZ,METH,Methanation,Hyd,Link,0.8,-0.16,,,,,,1,0,1,1,,0
UZ,NUCL,Nuclear,Uranium,Link,0.33,0,0,,,,,1,0.498,0.72,0.54,,0.9
UZ,OCGT,Open cycle gas turbine,Gas,Link,0.45,0.2,0,,,,,0.59,0,0.683010417,0.625840909,,0.9
UZ,OCGT,Open cycle gas turbine,Lng,Link,0.45,0.2,0,,,,,0.59,0,0.683010417,0.625840909,,0.9
UZ,OCHT,Open cycle hydrogen turbine,Hyd,Link,0.38,0,0,,,,,1,0,0.683010417,0.625840909,,0.9
UZ,OILT,Oil turbine,Oil,Link,0.35,0.28,0,,,,,0.35,0,0.771507085,0.650936846,,0.9
UZ,PEVCH,PEV charger,Electricity,Link,1,0,,0.97,,,,1,0,1,1,,0
UZ,PHOT,Solar PV,Solar,Generator,1,,,,,,,,0,1,1,,0.6
UZ,RTPV,Roof top PV,Solar,Generator,1,,,,,,,,0,1,1,,0.6
UZ,SubC,subcritical coal power plant,Bit,Link,0.33,0.34,0,,,,,0.67,0,0.38,0.29,,0.9
UZ,SubC,subcritical coal power plant,Hrdc,Link,0.33,0.353,0,,,,,0.67,0,0.38,0.29,,0.9
UZ,SubC,subcritical coal power plant,Lig,Link,0.33,0.363,0,,,,,0.67,0,0.38,0.29,,0.9
UZ,SubC_RETRO,Subcritical coal power plant Retrofit,Bit,Link,0.33,0.353,0,,,,,0.67,0,0.38,0.29,,0.9
